流入　流出
方向 方向
種別 小型車 大型車 小型車 大型車 合計 大型車 時間 二輪車 種別 小型車 大型車 小型車 大型車 合計 大型車 時間 二輪車
乗用車 小型 バス 普通 計 計 混入率 比率 乗用車 小型 バス 普通 計 計 混入率 比率
貨物車 貨物車 貨物車 貨物車
時間帯 [台] [台] [台] [台] [台] [台] [台] [％] [％] [台] 時間帯 [台] [台] [台] [台] [台] [台] [台] [％] [％] [台]
7時台 503 36 3 6 539 9 552 1.6% 11.0% 4 7時台 241 15 3 1 256 4 265 1.5% 5.9% 5
8時台 567 43 9 17 610 26 638 4.1% 12.7% 2 8時台 317 36 7 7 353 14 370 3.8% 8.2% 3
9時台 320 44 10 16 364 26 400 6.5% 8.0% 10 9時台 359 68 8 15 427 23 450 5.1% 10.0% 0
10時台 253 37 11 15 290 26 322 8.1% 6.4% 6 10時台 251 41 6 12 292 18 310 5.8% 6.9% 0
11時台 276 43 8 14 319 22 343 6.4% 6.8% 2 11時台 219 53 7 11 272 18 290 6.2% 6.4% 0
12時台 255 29 8 3 284 11 298 3.7% 5.9% 3 12時台 250 17 4 6 267 10 282 3.5% 6.3% 5
13時台 234 48 9 15 282 24 307 7.8% 6.1% 1 13時台 292 42 6 15 334 21 358 5.9% 7.9% 3
14時台 271 34 6 11 305 17 334 5.1% 6.7% 12 14時台 300 40 5 8 340 13 359 3.6% 8.0% 6
15時台 293 50 11 12 343 23 367 6.3% 7.3% 1 15時台 237 36 4 8 273 12 287 4.2% 6.4% 2
16時台 332 34 8 5 366 13 381 3.4% 7.6% 2 16時台 371 49 4 5 420 9 434 2.1% 9.0% 5
17時台 432 52 9 7 484 16 504 3.2% 10.1% 4 17時台 359 32 5 2 391 7 409 1.7% 9.1% 11
18時台 316 10 8 4 326 12 341 3.5% 6.8% 3 18時台 446 32 6 3 478 9 491 1.8% 10.9% 4
19時台 204 11 7 3 215 10 226 4.4% 4.5% 1 19時台 229 15 7 0 244 7 251 2.8% 5.6% 0
13時間計 4,256 471 107 128 4,727 235 5,013 4.7% 100.0% 51 13時間計 3,829 465 74 91 4,294 165 4,505 3.7% 100.0% 46 
